Date,Stress Score,Sleep Score,bed time,wake up,REM,,Light,,Deep,,segmentation,resting_heart_rate
2023/1/1,,83,02:49,12:11,1,18,5,25,1,11,1,69
2023/1/2,,85,02:39,11:52,1,13,5,35,1,13,1,71
2023/1/3,,78,00:52,07:16,0,50,3,48,0,44,1,69
2023/1/4,,77,01:03,07:20,1,4,3,36,0,44,1,68
2023/1/5,,76,00:19,07:25,0,42,4,36,0,43,1,66
2023/1/6,,85,00:49,07:28,1,29,3,16,1,11,1,67
2023/1/7,,87,00:37,12:53,2,41,5,49,2,11,1,67
2023/1/8,,,,,,,,,,,,
2023/1/9,,76,01:03,07:22,0,29,4,19,0,38,1,68
2023/1/10,,84,23:47,07:10,1,28,3,24,1,37,1,67
2023/1/11,,71,01:51,07:22,0,58,2,25,0,57,,67
2023/1/12,,,,,,,,,,,,
2023/1/13,,81,01:00,07:21,1,5,3,10,1,26,1,68
2023/1/14,,72,05:04,11:19,0,29,3,43,1,0,1,66
2023/1/15,,,,,,,,,,,,
2023/1/16,,84,01:57,11:11,1,8,6,1,0,50,1,68
2023/1/17,,74,01:06,07:20,0,39,3,48,1,6,1,66
2023/1/18,,74,00:49,07:26,0,32,4,1,1,8,1,67
2023/1/19,,,,,,,,,,,,
2023/1/20,,85,00:47,11:17,0,53,6,22,2,4,1,67
2023/1/21,,79,04:44,12:23,1,4,5,29,0,16,1,67
2023/1/22,,84,02:56,11:09,0,59,5,9,1,1,1,65
2023/1/23,,87,04:23,13:41,1,44,5,7,1,16,1,64
2023/1/24,,,,,,,,,,,,
2023/1/25,,83,03:49,13:27,1,16,6,18,0,46,1,65
2023/1/26,,84,03:04,12:43,1,14,5,35,1,24,1,66
2023/1/27,,74,02:11,07:23,0,42,2,50,1,1,1,64
2023/1/28,,86,02:35,12:28,1,37,6,13,0,57,1,62
2023/1/29,,79,05:08,11:50,1,9,3,55,0,50,1,62
2023/1/30,,77,00:36,07:29,0,50,3,45,1,22,1,62
2023/1/31,,79,00:52,07:39,1,9,3,27,1,17,1,63
2023/2/1,,90,23:25,07:35,1,49,3,51,1,31,1,63
2023/2/2,,74,02:50,07:40,0,33,2,55,0,50,1,63
2023/2/3,,82,23:57,07:48,1,37,3,55,1,3,1,62
2023/2/4,,,,,,,,,,,,
2023/2/5,,,,,,,,,,,,
2023/2/6,,83,00:28,07:37,1,15,3,39,1,7,1,61
2023/2/7,,82,00:18,07:43,1,22,3,55,1,5,1,62
2023/2/8,,78,23:24,07:40,0,55,4,30,1,25,1,62
2023/2/9,,76,23:55,07:41,0,43,4,13,1,33,1,61
2023/2/10,,79,23:50,07:46,1,2,4,34,1,8,1,61
2023/2/11,,74,01:23,10:58,1,35,5,32,0,59,1,61
2023/2/12,,89,00:45,09:49,1,49,4,58,1,12,1,63
2023/2/13,,,,,,,,,,,,
2023/2/14,,,,,,,,,,,,
2023/2/15,,88,23:32,07:47,1,28,4,57,0,47,1,63
2023/2/16,,86,00:33,07:48,1,28,4,16,0,45,1,63
2023/2/17,,89,23:57,08:04,1,55,4,11,1,7,1,62
2023/2/18,,88,01:15,11:01,1,57,5,29,1,13,1,62
2023/2/19,,84,03:00,12:21,1,27,4,59,1,34,1,62
2023/2/20,,72,01:40,07:49,0,27,3,58,0,47,1,63
2023/2/21,,77,00:36,07:39,1,0,3,55,1,5,1,63
2023/2/22,,76,00:00,07:47,1,16,4,36,0,55,1,62
2023/2/23,,73,01:11,07:51,0,59,3,41,1,5,1,64
2023/2/24,,76,01:42,07:45,0,35,3,56,0,52,1,65
2023/2/25,,83,02:37,10:40,1,48,3,41,1,17,1,64
2023/2/26,,84,02:33,10:54,0,47,5,1,1,37,1,63
2023/2/27,,71,02:16,09:39,0,52,4,27,1,6,1,63
2023/2/28,,,,,,,,,,,,
2023/3/1,,,,,,,,,,,,
2023/3/2,,,,,,,,,,,,
2023/3/3,,68,00:54,07:47,0,49,4,2,0,53,1,64
2023/3/4,,66,00:59,05:16,0,41,2,41,0,26,1,67
2023/3/5,,83,23:00,07:15,1,27,3,58,1,43,1,69
2023/3/6,,,,,,,,,,,,
2023/3/7,,85,00:14,07:43,1,14,4,19,0,59,1,69
2023/3/8,,81,00:43,07:50,0,45,3,49,1,37,1,67
2023/3/9,,81,01:08,07:50,1,35,3,26,0,47,1,65
2023/3/10,,74,01:10,07:50,0,58,3,37,1,3,1,64
2023/3/11,,76,00:49,07:24,0,44,3,55,0,54,1,64
2023/3/12,,66,01:29,07:52,0,54,3,42,0,50,1,63
2023/3/13,,74,01:07,07:47,0,33,4,20,0,51,1,64
2023/3/14,,80,01:20,07:49,1,2,3,47,1,1,1,65
2023/3/15,,76,02:07,07:52,1,13,3,16,0,30,1,65
2023/3/16,,67,03:56,07:44,0,38,2,39,0,8,1,64
2023/3/17,,70,03:34,08:14,0,52,2,32,0,34,1,65
2023/3/18,,88,01:42,10:14,1,53,4,41,0,50,1,65
2023/3/19,,72,04:26,09:13,0,31,2,55,0,48,1,63
2023/3/20,,84,00:58,07:34,1,14,3,15,1,30,1,64
2023/3/21,,77,00:57,07:41,1,0,3,24,1,11,1,65
2023/3/22,,70,01:03,07:09,0,53,4,13,0,5,1,65
2023/3/23,,78,01:15,07:39,1,1,3,21,1,12,1,63
2023/3/24,,75,02:37,07:53,0,26,3,23,0,50,1,63
2023/3/25,,74,01:20,08:54,0,56,3,53,1,38,1,62
2023/3/26,,88,01:23,11:52,1,55,5,10,2,1,1,63
2023/3/27,,80,01:50,07:44,1,11,3,29,0,37,1,62
2023/3/28,,66,02:37,07:52,0,36,3,16,0,33,1,61
2023/3/29,,83,02:02,07:53,1,15,3,7,0,58,1,62
2023/3/30,,69,02:54,07:44,0,40,3,7,0,27,1,61
2023/3/31,,74,02:47,07:52,0,48,2,38,0,52,1,61
2023/4/1,,63,02:36,09:02,0,26,3,46,1,0,1,62
2023/4/2,,84,01:15,11:58,1,30,6,39,1,16,1,64
2023/4/3,,,,,,,,,,,,
2023/4/4,,,,,,,,,,,,
2023/4/5,,,,,,,,,,,,
2023/4/6,,,,,,,,,,,,
2023/4/7,,,,,,,,,,,,
2023/4/8,,84,02:36,10:20,1,19,3,59,1,31,1,64
2023/4/9,,69,01:40,07:54,0,39,3,9,1,34,1,61
2023/4/10,,69,01:59,07:42,0,50,2,49,1,15,1,63
2023/4/11,,,,,,,,,,,,
2023/4/12,,78,01:43,07:52,1,3,3,8,1,6,1,68
2023/4/13,,,,,,,,,,,,
2023/4/14,,75,03:09,07:53,0,43,2,26,1,5,1,66
2023/4/15,,83,04:21,12:34,2,7,3,56,0,55,1,64
2023/4/16,,,,,,,,,,,,
2023/4/17,,78,02:12,07:59,1,13,3,0,0,46,1,64
2023/4/18,,74,01:57,07:53,0,26,3,25,1,14,1,64
2023/4/19,,,,,,,,,,,,
2023/4/20,,82,01:23,07:52,1,13,3,17,1,16,2,64
2023/4/21,,72,02:46,07:44,0,57,2,24,0,48,1,64
2023/4/22,,83,03:34,11:47,0,34,5,16,1,26,1,66
2023/4/23,,87,03:30,11:30,1,22,4,43,0,56,1,66
2023/4/24,60,66,02:27,07:43,0,44,3,2,0,43,3,64
2023/4/25,71,71,03:47,07:43,0,32,2,12,0,47,1,66
2023/4/26,66,84,21:01,07:01,1,33,5,54,1,15,1,64
2023/4/27,70,77,02:33,07:45,0,59,2,23,1,18,3,62
2023/4/28,66,71,03:25,10:47,1,31,3,43,0,46,1,64
2023/4/29,61,70,00:46,08:41,1,12,3,59,1,25,1,66
2023/4/30,76,81,02:35,13:19,1,16,4,23,1,31,2,68
2023/5/1,70,74,04:28,12:27,1,13,4,11,1,15,1,69
2023/5/2,77,75,02:14,07:44,0,47,3,25,0,35,1,71
2023/5/3,74,74,01:50,07:44,0,44,3,32,0,44,1,68
2023/5/4,81,80,02:01,08:14,0,58,3,4,1,30,2,67
2023/5/5,,,,,,,,,,,,
2023/5/6,,87,02:40,13:36,1,49,6,11,1,34,1,66
2023/5/7,74,88,03:44,12:53,1,46,4,23,1,48,1,67
2023/5/8,71,70,02:58,07:49,0,29,3,17,0,26,2,67
2023/5/9,73,77,02:34,07:48,0,58,3,13,0,24,1,66
2023/5/10,68,72,03:00,07:55,0,30,2,52,0,48,1,66
2023/5/11,67,74,02:24,07:53,0,45,3,33,0,36,2,63
2023/5/12,66,72,02:48,07:53,0,56,3,15,0,11,1,64
2023/5/13,75,88,03:39,12:45,1,36,5,11,1,17,1,64
2023/5/14,67,85,03:18,11:39,1,16,4,28,1,31,1,64
2023/5/15,66,71,02:46,07:56,0,36,2,32,1,26,1,63
2023/5/16,74,75,03:24,07:53,1,6,2,26,0,24,1,66
2023/5/17,68,77,01:58,07:55,0,44,3,51,0,44,2,65
2023/5/18,63,,02:00,07:55,,,,,,,,64
2023/5/19,70,85,21:55,07:01,1,26,5,0,1,22,1,64
2023/5/20,73,,02:22,10:30,,,,,,,,62
2023/5/21,,87,04:04,14:43,1,56,5,16,2,6,1,63
2023/5/22,68,67,03:58,07:56,0,21,2,22,0,41,1,64
2023/5/23,68,68,03:31,07:55,0,30,2,43,0,33,1,64
2023/5/24,,80,20:20,04:30,0,47,4,14,1,56,1,63
2023/5/25,68,71,20:01,01:04,0,47,2,46,0,50,1,62
2023/5/26,,85,19:15,04:44,2,0,4,57,1,19,1,62
2023/5/27,70,83,20:57,10:06,1,9,7,45,2,18,1,63
2023/5/28,76,91,02:33,11:35,1,58,4,46,1,24,1,63
2023/5/29,72,75,03:59,07:53,0,40,2,28,0,9,2,63
2023/5/30,65,81,05:37,07:57,,,,,,,,
2023/5/31,66,59,22:19,07:07,1,19,4,35,1,30,2,61
2023/6/1,72,,05:27,07:57,,,,,,,,
2023/6/2,,84,23:08,07:54,1,34,4,37,1,11,1,60
2023/6/3,68,80,01:39,09:14,1,5,4,11,1,17,1,62
2023/6/4,,81,00:35,11:49,1,41,6,31,1,36,1,62
2023/6/5,64,69,03:29,07:57,0,45,2,51,0,13,2,64
2023/6/6,65,70,01:45,07:51,0,40,3,56,0,28,1,64
2023/6/7,71,73,19:54,07:48,0,54,4,58,1,49,2,62
2023/6/8,,83,00:34,07:50,1,13,4,32,0,53,1,62
2023/6/9,72,77,02:36,08:00,1,45,2,26,0,33,1,61
2023/6/10,,80,01:52,09:52,0,42,5,9,1,8,1,62
2023/6/11,72,83,01:28,12:58,1,53,6,18,1,49,1,61
2023/6/12,72,67,02:18,08:10,0,55,3,24,0,38,2,63
2023/6/13,74,79,01:13,07:53,1,25,3,39,0,47,1,65
2023/6/14,72,77,01:04,08:03,0,43,4,12,1,4,1,65
2023/6/15,73,68,03:39,07:55,0,10,2,44,0,45,1,63
2023/6/16,,73,01:45,07:54,0,55,3,53,0,27,1,62
2023/6/17,73,82,01:26,09:39,0,54,4,34,1,41,1,61
2023/6/18,73,80,02:25,11:22,1,5,5,28,1,17,1,61
2023/6/19,78,72,01:52,08:01,0,33,3,34,1,15,1,64
2023/6/20,80,84,01:13,08:09,1,14,3,58,0,54,1,64
2023/6/21,,,,,,,,,,,,
2023/6/22,,82,00:48,11:46,1,38,6,42,1,6,1,63
2023/6/23,,83,02:35,11:38,1,21,5,22,0,58,1,63
2023/6/24,69,80,03:00,12:29,1,1,5,10,1,34,1,62
2023/6/25,71,84,03:08,11:09,1,6,4,59,0,57,1,62
2023/6/26,,69,04:42,07:58,0,43,1,18,0,50,3,63
2023/6/27,68,65,04:00,07:56,0,25,1,58,0,35,2,64
2023/6/28,68,,,,,,,,,,,
2023/6/29,,61,04:12,08:00,0,31,1,42,1,9,1,62
2023/6/30,,75,01:19,07:58,0,39,3,49,1,10,1,62
2023/7/1,75,86,03:22,12:38,1,3,5,32,0,57,1,62
2023/7/2,69,82,03:38,12:38,1,3,5,32,0,57,2,62
2023/7/3,,,,,,,,,,,,
2023/7/4,,64,04:13,08:01,0,36,1,51,0,41,1,60
2023/7/5,,73,03:20,07:54,1,9,1,41,1,2,1,59
2023/7/6,73,80,01:57,09:23,1,8,4,1,1,19,1,60
2023/7/7,,77,01:43,07:58,0,58,3,13,1,8,1,61
2023/7/8,,77,02:00,13:20,1,29,7,23,0,54,1,60
2023/7/9,62,84,03:15,12:59,1,2,6,19,1,2,1,62
2023/7/10,63,68,03:41,07:59,0,29,2,22,0,49,1,61
2023/7/11,,70,04:06,08:06,0,33,2,21,0,32,1,61
